msv,name,birthday,gender,address,phone,email,cccd,ethnicity,class_code,faculty_code,major_code,training_code,academic_year,created_at,updated_at
B21DCDT092,Ngô Trung Hi?u,8/16/2003,Nam,Hu?,0801234567,HieuNT.B21DT092@stu.ptit.edu.vn,789012345678,Kinh,D21CQDT01-B,KTDT,DT,CQ,2021-2026,NULL,11/4/2024 17:06
B21DCKT004,Tr?n Di?u An,11/2/2003,N?,Hà N?i,0901234567,AnTD.B21KT004@stu.ptit.edu.vn,123456789012,Kinh,D21CQKT01-B,TCKT,KT,CQ,2021-2025,NULL,11/3/2024 1:55
B21DCMR110,Nguy?n Thu Hà,10/5/2003,N?,Ð?ng Nai,0834567890,HaNT.B21MR110@stu.ptit.edu.vn,112345678901,Kinh,D21CQMR01-B,TCKT,MR,CQ,2021-2025,NULL,11/3/2024 1:55
B21DCPT044,Lê Ð?ng Châu Anh,1/16/2003,N?,TP. H? Chí Minh,0912345678,AnhLDC.B21PT044@stu.ptit.edu.vn,234567890123,Kinh,D21CQPT01-B,DPT,CNDPT,CQ,2021-2026,NULL,11/4/2024 19:02
B21DCQT027,Mai Th? Linh Chi,12/21/2003,N?,Ðà N?ng,0923456789,ChiMTL.B21QT027@stu.ptit.edu.vn,345678901234,Kinh,D21CQQT01-B,QTKD,QTKD,VHVL,2021-2025,NULL,NULL
B21DCQT134,Tr?nh H?ng Phong,6/19/2003,Nam,B?nh Dýõng,0823456789,PhongTH.B21QT134@stu.ptit.edu.vn,901234567890,Kinh,D21CQQT02-B,QTKD,QTKD,VHVL,2021-2025,NULL,NULL
B21DCTC070,Nguy?n Th? Nh?t Minh,3/16/2003,N?,H?i Ph?ng,0934567890,MinhNTN.B21TC070@stu.ptit.edu.vn,456789012345,Kinh,D21CQTC01-B,TCKT,FINTECH,CQ,2021-2025,NULL,11/3/2024 1:55
B21DCTT123,Phan Thu Phýõng,5/30/2003,N?,Thanh Hóa,0724567890,PhuongPT.B21TT123@stu.ptit.edu.vn,667890123456,Kinh,D21CQTT01-B,DPT,TTDPT,CQ,2021-2025,NULL,11/4/2024 19:02
B21DCVT087,Lê Quang Công,10/11/2003,Nam,Nha Trang,0956789012,CongLQ.B21VT087@stu.ptit.edu.vn,678901234567,Kinh,D21CQVT01-B,VT,VT,CQ,2021-2026,NULL,11/3/2024 1:55
B22DCAT300,Ðinh Ng?c Tu?n,3/17/2004,Nam,B?c Ninh,0856789012,TuanDN.B22AT300@stu.ptit.edu.vn,334567890123,Kinh,D22CQAT01-B,CNTT,ATTT,VHVL,2022-2027,NULL,NULL
B22DCBC300,Ð? Th? H?i Y?n,1/17/2004,N?,Qu?ng Ninh,0845678901,YenDH.B22BC300@stu.ptit.edu.vn,223456789012,Kinh,D22CQBC01-B,DPT,BC,CQ,2022-2026,NULL,11/4/2024 19:02
B22DCTC010,Tr?n Tu?n Anh,12/18/2004,Nam,Hà T?nh,0745678901,AnhTT.B22TC010@stu.ptit.edu.vn,889012345678,Kinh,D24CQTC01-B,TCKT,FINTECH,CQ,2024-2028,NULL,11/3/2024 1:55
B23DCKT030,Tr?nh Phýõng Dung,4/6/2005,N?,Thái Nguyên,0701234567,DungTP.B23KT030@stu.ptit.edu.vn,445678901234,Kinh,D23CQKT01-B,TCKT,KT,CQ,2023-2027,NULL,11/3/2024 1:55
B23DCKT131,Nguy?n Th? Minh Huy?n,11/26/2005,N?,Tây Ninh,0323456789,HuyenNTM.B23KT131@stu.ptit.edu.vn,234567890112,Kinh,D23CQKT02-B,TCKT,KT,CQ,2023-2027,NULL,11/3/2024 1:55
B24DCMR200,Ph?m Huy Ti?n,11/15/2006,Nam,B?n Tre,0312345678,TienPH.B24MR200@stu.ptit.edu.vn,212345678901,Kinh,D24CQMR01-B,TCKT,MR,CQ,2024-2028,NULL,11/3/2024 1:55
B24DCCT190,Nguy?n Xuân Sõn,2/5/2005,Nam,Ngh? An,0734567890,SonNX.B24CT190@stu.ptit.edu.vn,778901234567,Kinh,D24CQTC01-B,TCKT,FINTECH,VHVL,2021-2025,NULL,NULL
B24DCKD100,Nguy?n S? Sõn,8/26/2006,Nam,Kiên Giang,0301234567,SonNS.B24KD100@stu.ptit.edu.vn,101234567890,Kinh,D24CQKT01-B,TCKT,KT,VHVL,2021-2026,NULL,NULL
B24DCPT235,Ngô Xuân Thýõng,9/9/2006,Nam,H?i Dýõng,0712345678,ThuongNX.B24PT235@stu.ptit.edu.vn,556789012345,Kinh,D24CQPT01-B,DPT,CNDPT,VHVL,2024-2029,NULL,11/4/2024 19:02
