"mgv","name","birthday","gender","address","phone","email","created_at","updated_at"
"GVA354","Lê Xuân Vượng","1986-01-17","Nam","23 Cầu Giấy, Hà Nội","0901234573","vuonglx@gmail.com",NULL,NULL
"GVB207","Nguyễn Công Hiệp","1990-11-11","Nam","33 Tôn Đức Thắng, Hà Nội","0901234581","huedinh@gmail.com",NULL,NULL
"GVC092","Nguyễn Thanh Công","1982-07-20","Nam","789 Trần Phú, TP HCM","0901234569","dtnanh@gmail.com",NULL,NULL
"GVD675","Nguyễn Phương Thảo","1988-12-12","Nữ","67 Lý Thường Kiệt, Huế","0901234570","chaotho@gmail.com",NULL,NULL
"GVJ097","Trịnh Trần Phương Tuấn","1997-07-09","Nam","Bến Tre","0901234587","domchua@gmail.com",NULL,"2024-11-10 18:12:04"
"GVJ854","Nguyễn Văn Nam","1983-05-25","Nam","34 Bạch Đằng, TP HCM","0901234577","nambv@gmail.com",NULL,NULL
"GVK102","Nguyễn Quốc Tuấn","1991-04-02","Nam","12 Láng Hạ, Hà Nội","0901234576","tuancatre@gmail.com",NULL,NULL
"GVN671","Hoàng Hiếu Nghĩa","1979-07-09","Nam","56 Lê Thanh Nghị, Đà Nẵng","0901234578","vanheatclean@gmail.com",NULL,NULL
"GVR982","Nguyễn Tú Anh","1984-09-06","Nam","12 Nguyễn Du, Hải Phòng","0901234582","tuanh@gmail.com",NULL,NULL
"GVS601","Lê Văn Mạnh","1980-05-29","Nam","Truc Ninh, Nam Định","0901234584","manhlv@gmail.com",NULL,NULL
"GVT556","Trần Quang Huy","1989-06-30","Nam","54 Quang Trung, Bình Dương","0901234575","qhuytran@gmail.com",NULL,NULL
"GVX015","Hoàng Ngọc Minh","1975-03-05","Nam","Yên Xá, Tân Triều, Thanh Trì, Hà Nội","0901234571","minhmotta@gmail.com",NULL,NULL
"GVY019","Nguyễn Thị Như","1978-10-27","Nữ","23 Phan Bội Châu, TP HCM","0901234586","hnhuyen@gmail.com",NULL,NULL
"GVZ234","Đình Thị Huệ","1987-02-21","Nữ","78 Nguyễn Chí Thanh, Huế","0901234579","nchiep@gmail.com",NULL,NULL
"TGV123","Trần Thế Vinh","1985-02-15","Nam","Phùng Khoang, Nam Từ Liêm, Hà Nội","0901234567","vinhtiet@gmail.com",NULL,NULL
"TGV204","Lê Phương Nhi","1989-04-13","Nữ","56 Nguyễn Văn Cừ, Đà Nẵng","0901234585","nhiple@gmail.com",NULL,NULL
"TGV245","Nguyễn Tiến Đạt","1990-05-10","Nam","45 Lê Lợi, Đà Nẵng","0901234568","soicodoc@gmail.com",NULL,NULL
"TGV388","Nguyễn Gia Bách","1981-08-18","Nam","65 Trần Hưng Đạo, Hà Nội","0901234580","bachblack@gmail.com",NULL,NULL
"TGV743","Hoàng Thị Hương Lan","1992-03-03","Nữ","Quyết Thắng, Lạc Sơn, Hòa Bình","0901234583","hhlan@gmail.com",NULL,NULL
"TGV878","Nguyễn Ngọc Thắng","1984-09-23","Nam","Sóc Sơn, Hà Nội","0901234572","dqt@gmail.com",NULL,NULL
"TGV991","Lê Văn Duy","1992-11-14","Nam","99 Nguyễn Huệ, Đà Nẵng","0901234574","lvduy@gmail.com",NULL,NULL
